customerID,Churn,prediction,Churn_Probability,tenure,Contract,MonthlyCharges,TotalCharges,InternetService,PaymentMethod,OnlineSecurity,OnlineBackup,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MultipleLines,Partner,Dependents,gender,PhoneService,RecencyScore,FrequencyScore,MonetaryScore,RFM_Score,RetentionPriority
7590-VHVEG,No,1.0,0.6788,1,Month-to-month,29.85,29.85,DSL,Electronic check,No,Yes,No,No,No,Yes,No phone service,Yes,No,Female,No,1,1,2,4,2.7151408353758093
7795-CFOCW,No,0.0,0.0292,45,One year,42.3,1840.75,DSL,Bank transfer (automatic),Yes,No,Yes,No,No,No,No phone service,No,No,Male,No,5,1,3,9,0.26261855395858724
9237-HQITU,Yes,1.0,0.6917,2,Month-to-month,70.7,151.65,Fiber optic,Electronic check,No,No,No,No,No,Yes,No,No,No,Female,Yes,1,0,4,5,3.4584240479328114
1452-KIOVK,No,0.0,0.4662,22,Month-to-month,89.1,1949.4,Fiber optic,Credit card (automatic),No,Yes,No,Yes,No,Yes,Yes,No,Yes,Male,Yes,4,2,5,11,5.128190165168889
6388-TABGU,No,0.0,0.0113,62,One year,56.15,3487.95,DSL,Bank transfer (automatic),Yes,Yes,No,No,No,No,No,No,Yes,Male,Yes,5,2,3,10,0.11348696939146752
9763-GRSKD,No,0.0,0.2102,13,Month-to-month,49.95,587.45,DSL,Mailed check,Yes,No,No,No,No,Yes,No,Yes,Yes,Male,Yes,4,1,3,8,1.6817754659537076
8091-TTVAX,No,0.0,0.1887,58,One year,100.35,5681.1,Fiber optic,Credit card (automatic),No,No,No,Yes,Yes,No,Yes,Yes,No,Male,Yes,5,2,5,12,2.264412665440083
5129-JLPIS,No,0.0,0.4647,25,Month-to-month,105.5,2686.05,Fiber optic,Electronic check,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Male,Yes,5,3,5,13,6.041414218833558
3655-SNQYZ,No,0.0,0.0393,69,Two year,113.25,7895.15,Fiber optic,Credit card (automatic),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Female,Yes,5,4,5,14,0.5501073043613705
4183-MYFRB,No,1.0,0.5855,21,Month-to-month,90.05,1862.9,Fiber optic,Electronic check,No,Yes,No,No,Yes,Yes,No,No,No,Female,Yes,4,2,5,11,6.439983026103502
1680-VDCWW,No,0.0,0.0834,12,One year,19.8,202.25,No,Bank transfer (automatic),No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,No,Male,Yes,3,0,1,4,0.33350868505911
3413-BMNZE,No,0.0,0.3739,1,Month-to-month,45.25,45.25,DSL,Bank transfer (automatic),No,No,No,No,No,No,No,No,No,Male,Yes,1,0,3,4,1.4956193265557212
8168-UQWWF,Yes,1.0,0.7097,11,Month-to-month,97.85,1105.4,Fiber optic,Bank transfer (automatic),No,No,No,Yes,Yes,Yes,Yes,No,No,Female,Yes,3,2,5,10,7.096693799373112
8865-TNMNX,No,0.0,0.1443,10,One year,49.55,475.7,DSL,Mailed check,No,Yes,No,No,No,No,No,Yes,Yes,Male,Yes,3,1,3,7,1.010315729785795
9489-DEDVP,No,0.0,0.0092,70,Two year,69.2,4872.35,DSL,Credit card (automatic),Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Female,Yes,5,3,4,12,0.1106935017638766
9867-JCZSP,No,0.0,0.0544,17,One year,20.75,418.25,No,Mailed check,No internet service,No internet service,No internet service,No internet service,No internet service,No,No,Yes,Yes,Female,Yes,4,0,2,6,0.3265849779734247
7639-LIAYI,No,0.0,0.0246,52,Two year,79.75,4217.8,DSL,Credit card (automatic),Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Male,Yes,5,3,4,12,0.29527138353106963
1658-BYGOY,Yes,1.0,0.724,18,Month-to-month,95.45,1752.55,Fiber optic,Electronic check,No,No,No,Yes,Yes,Yes,Yes,No,No,Male,Yes,4,2,5,11,7.9635476893907695
5067-XJQFU,No,0.0,0.205,66,One year,108.45,7076.35,Fiber optic,Electronic check,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Male,Yes,5,3,5,13,2.66480542488482
5698-BQJOH,Yes,1.0,0.7222,9,Month-to-month,94.4,857.25,Fiber optic,Electronic check,No,No,No,Yes,Yes,No,Yes,No,No,Female,Yes,3,2,5,10,7.222078824101217
7410-OIEDU,No,0.0,0.4365,10,Month-to-month,79.85,887.35,Fiber optic,Mailed check,Yes,No,No,No,No,Yes,No,No,No,Male,Yes,3,1,4,8,3.491716403303223
